url,type,label,url_length,domain_length,path_length,num_dots,num_slashes,num_digits,num_special_chars,num_subdomains,has_https,has_ip,has_at_symbol,has_double_slash,query_length,num_query_params
uk.linkedin.com/pub/steve-rubenstein/8/718/755,benign,0,46,15,31,2,5,7,0,1,0,0,0,0,0,0
http://www.vnic.co/khach-hang.html,defacement,1,34,11,16,3,3,0,0,1,0,0,0,0,0,0
baseball-reference.com/players/h/harrige01.shtml,benign,0,48,22,26,2,3,2,0,0,0,0,0,0,0,0
signin.eby.de.zukruygxctzmmqi.civpro.co.za,phishing,2,42,42,0,6,0,0,0,5,0,0,0,0,0,0
192.com/atoz/people/oakley/patrick/,benign,0,35,7,28,1,5,3,0,0,0,0,0,0,0,0
nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,benign,0,83,11,72,2,5,8,0,0,0,0,0,0,0,0
escholarship.org/uc/item/5xt4952c,benign,0,33,16,17,1,3,5,0,0,0,0,0,0,0,0
songfacts.com/detail.php?id=13410,benign,0,33,13,11,2,1,5,2,0,0,0,0,0,8,1
casamanana.org/education/blba/,benign,0,30,14,16,1,3,0,0,0,0,0,0,0,0,0
http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,benign,0,85,17,61,1,7,12,0,0,0,0,0,0,0,0
http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8/,phishing,2,71,27,37,2,5,17,0,1,0,0,0,0,0,0
en.wikipedia.org/wiki/North_Dakota,benign,0,34,16,18,2,2,0,1,1,0,0,0,0,0,0
soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/,benign,0,81,18,63,2,6,5,6,1,0,0,0,0,0,0
perfectpeople.net/celebrity-star/6920/gidget-gein.htm,benign,0,53,17,36,2,3,4,0,0,0,0,0,0,0,0
media.caltech.edu/press_releases/13186,benign,0,38,17,21,2,2,5,1,1,0,0,0,0,0,0
wikiobits.com/Obits/TonyProudfoot,benign,0,33,13,20,1,2,0,0,0,0,0,0,0,0,0
vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011,benign,0,64,21,14,3,1,9,6,1,0,0,0,0,28,3
http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=70,defacement,1,102,21,10,3,3,4,10,0,0,0,0,0,63,4
movies.yahoo.com/shop?d=hv&cf=info&id=1800340831,benign,0,48,16,5,2,1,10,6,1,0,0,0,0,26,3
cyndislist.com/us/pa/counties,benign,0,29,14,15,1,3,0,0,0,0,0,0,0,0,0
http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,malware,3,67,14,27,3,5,6,4,1,0,0,0,0,18,2
http://www.raci.it/component/user/reset.html,defacement,1,44,11,26,3,5,0,0,1,0,0,0,0,0,0
https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,phishing,2,87,15,21,2,4,5,2,1,1,0,0,0,42,1
psychology.wikia.com/wiki/Phonemes,benign,0,34,20,14,2,2,0,0,1,0,0,0,0,0,0
info.centriq.com/content/fivereasons,benign,0,36,16,20,2,2,0,0,1,0,0,0,0,0,0
articles.baltimoresun.com/1991-06-11/sports/1991162162_1_james-koehler-texas-rangers-terrell-lowery,benign,0,99,25,74,2,3,19,2,1,0,0,0,0,0,0
infinitysw.com/,benign,0,15,14,1,1,1,0,0,0,0,0,0,0,0,0
strawberrycreekgardens.com/,benign,0,27,26,1,1,1,0,0,0,0,0,0,0,0,0
http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,defacement,1,82,14,61,1,4,0,0,0,0,0,0,0,0,0
spoke.com/dir/p/desantis/nick,benign,0,29,9,20,1,4,0,0,0,0,0,0,0,0,0
wordsmith.org/words/pignus.html,benign,0,31,13,18,2,2,0,0,0,0,0,0,0,0,0
http://interpark.com/displaycorner/FreeMarket.do?_method=itemCateList&free1=pc&free2=007001008003&free3=item&disp_no=007001008003,benign,0,129,13,28,2,4,27,12,0,0,0,0,0,80,5
http://www.newtec.ac.uk/courses/health-and-social-care/level-2-diploma-in-health-a-social-care-.html,defacement,1,100,16,77,4,5,1,0,2,0,0,0,0,0,0
http://www.kingsmillshotel.com/spring/mothers-day,defacement,1,49,23,19,2,4,0,0,1,0,0,0,0,0,0
almanac.logos.com/Denominations,benign,0,31,17,14,2,1,0,0,1,0,0,0,0,0,0
gaming.wikia.com/wiki/Backbreaker_(video_game),benign,0,46,16,30,2,2,0,2,1,0,0,0,0,0,0
ceu.hu/,benign,0,7,6,1,1,1,0,0,0,0,0,0,0,0,0
registry.weddingchannel.com/coupledir/20108/C/R314763282/JARED_CLOUGH_AND_TAJAI_RITCHIE.htm,benign,0,91,27,64,3,5,14,4,1,0,0,0,0,0,0
linkedin.com/pub/george-cleveland/7/80a/599,benign,0,43,12,31,1,5,6,0,0,0,0,0,0,0,0
sunshinemills.com/,benign,0,18,17,1,1,1,0,0,0,0,0,0,0,0,0
agoda.com/north_america/canada/montreal_qc/attractions/hotels_near_mcgill_university_centre_for_continuing_education.html,benign,0,121,9,112,2,5,0,9,0,0,0,0,0,0,0
ctv.ca/generic/WebSpecials/sponsorship_scandal/,benign,0,47,6,41,1,4,0,1,0,0,0,0,0,0,0
http://www.approvi.com.br/ck.htm,defacement,1,32,18,7,4,3,0,0,2,0,0,0,0,0,0
http://www.shaborooz.ir/index.php?view=article&catid=7:1390-01-27-09-09-55&id=23:1390-04-12-08-07-33&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=2,defacement,1,172,16,10,3,3,33,19,1,0,0,0,0,138,9
veoox.com/tags/game.html,benign,0,24,9,15,2,2,0,0,0,0,0,0,0,0,0
chuckwalkertrio.blogspot.com/,benign,0,29,28,1,2,1,0,0,1,0,0,0,0,0,0
aerosolesshoes.org/,benign,0,19,18,1,1,1,0,0,0,0,0,0,0,0,0
http://www.juventudelirica.com.br/index.html,defacement,1,44,26,11,4,3,0,0,2,0,0,0,0,0,0
http://www.myenrg.com/southwest/9-texas,defacement,1,39,14,18,2,4,1,0,1,0,0,0,0,0,0
recipelink.com/msgbrd/board_14/2007/DEC/29094.html,benign,0,50,14,36,2,5,11,1,0,0,0,0,0,0,0
http://www.musimagen.com/lista_socios.php?letra=\303%91,defacement,1,55,17,17,3,3,5,4,1,0,0,0,0,13,1
ideas.repec.org/f/pma235.html,benign,0,29,15,14,3,2,3,0,1,0,0,0,0,0,0
peopleaz.org/firstname/Fowlkes/6,benign,0,32,12,20,1,3,1,0,0,0,0,0,0,0,0
orensamtraktrip.wordpress.com/,benign,0,30,29,1,2,1,0,0,1,0,0,0,0,0,0
retajconsultancy.com,phishing,2,20,20,0,1,0,0,0,0,0,0,0,0,0,0
alexa.com/whatshot?q=james+arness,benign,0,33,9,9,1,1,0,2,0,0,0,0,0,14,1
jpopasia.com/group/arashi/discography/,benign,0,38,12,26,1,4,0,0,0,0,0,0,0,0,0
kitsapsun.com/photos/2011/feb/25/177999/,benign,0,40,13,27,1,6,12,0,0,0,0,0,0,0,0
local.yahoo.com/info-42862457-oakland-international-airport-oakland,benign,0,67,15,52,2,1,8,0,1,0,0,0,0,0,0
tripadvisor.com/Restaurant_Review-g680765-d1768647-Reviews-Yacha_Yacha-Miyakojima_Okinawa_Prefecture_Kyushu_Okinawa.html,benign,0,120,15,105,2,1,13,6,0,0,0,0,0,0,0
articles.elitefts.com/articles/training-articles/five-great-exercises-for-building-a-dominant-defensive-lineman/,benign,0,112,21,91,2,4,0,0,1,0,0,0,0,0,0
broadwaystars.com/classic/?source=www.playbill.com,benign,0,50,17,9,3,2,0,2,0,0,0,0,0,23,1
http://www.pn-wuppertal.de/links/2-linkseite/5-httpwwwkrebshilfede,defacement,1,66,19,40,2,5,2,0,1,0,0,0,0,0,0
forums.networkinfrastructure.info/motorola-wireless-lan-switches/,benign,0,65,33,32,2,2,0,0,1,0,0,0,0,0,0
youtube.com/watch?v=mwpoPQ1SPJU,benign,0,31,11,6,1,1,1,2,0,0,0,0,0,13,1
mccall-idchamber.org/,benign,0,21,20,1,1,1,0,0,0,0,0,0,0,0,0
chacha.com/question/who-said-the-quote-%27say-what-you-mean%2C-mean-what-you-say-and-put-a-beat-to-it%27,benign,0,104,10,94,1,2,5,3,0,0,0,0,0,0,0
friars.com/sports/m-baskbl/archive/prov-m-baskbl-2003.html,benign,0,58,10,48,2,4,4,0,0,0,0,0,0,0,0
http://asociacionkaribu.org/index.php/servicios/centro-jambo,defacement,1,60,20,33,2,5,0,0,0,0,0,0,0,0,0
http://www.martin-busker.de/administrator/help/en-GB/css/Facture/c4d12146ebce8e1684d3542308399779/8fa39dab95edb1b676b638a672278eae/particuliers-45636.php,phishing,2,153,20,126,3,10,47,0,1,0,0,0,0,0,0
pipl.com/directory/name/Whissell/180,benign,0,36,8,28,1,4,3,0,0,0,0,0,0,0,0
spokeo.com/John+Collet,benign,0,22,10,12,1,1,0,0,0,0,0,0,0,0,0
http://www.parafiapiaski.pl/index.php?option=com_user&view=remind,defacement,1,65,20,10,3,3,0,5,1,0,0,0,0,27,2
http://fanpage.gr/family/gineka/%ce%b1%cf%85%cf%84%ce%bf%ce%af-%ce%b5%ce%af%ce%bd%ce%b1%ce%b9-%ce%bf%ce%b9-13-%cf%89%cf%81%ce%b1%ce%b9%cf%8c%cf%84%ce%b5%cf%81%ce%bf%ce%b9-%ce%ad%ce%bb%ce%bb%ce%b7%ce%b,benign,0,200,10,183,1,5,25,54,0,0,0,0,0,0,0
faqs.org/copyright/handbook-for-the-individual-or-group-culture-free/,benign,0,69,8,61,1,3,0,0,0,0,0,0,0,0,0
duckduckgo.com/1/c/Roman_Catholic_cathedrals_in_Canada,benign,0,54,14,40,1,3,1,4,0,0,0,0,0,0,0
alexpay2.beget.tech,phishing,2,19,19,0,2,0,1,0,1,0,0,0,0,0,0
http://worldoftanks.ru/ru/content/guide/payments_instruction/mobile-payments-rostelekom-ural-utel/,benign,0,98,15,76,1,8,0,1,0,0,0,0,0,0,0
http://www.artedesignsas.it/catalogo.html?page=shop.browse&category_id=14,defacement,1,73,20,14,4,3,2,5,1,0,0,0,0,31,2
en.wikipedia.org/wiki/Lloyd_Bacon,benign,0,33,16,17,2,2,0,1,1,0,0,0,0,0,0
http://serverfault.com/questions/682832/squid-transparent-https-certificate-error-ssl-error-bad-cert-domain,benign,0,107,15,85,1,5,6,0,0,0,0,0,0,0,0
http://www.viamanaus.com.br/index.php?option=com_wrapper&view=wrapper&Itemid=297,defacement,1,80,20,10,4,3,3,7,2,0,0,0,0,42,3
ciajfk.com/harold.html,benign,0,22,10,12,2,1,0,0,0,0,0,0,0,0,0
http://www.protect-effect.nl/diensten/62-telefonie,defacement,1,50,21,22,2,4,2,0,1,0,0,0,0,0,0
indyweek.com/artery/archives/2011/10/07/come-back-to-the-1980s-at-the-escapism-film-festival-which-begins-friday,benign,0,112,12,100,1,6,12,0,0,0,0,0,0,0,0
linkedin.com/pub/charles-gariepy/2/642/28,benign,0,41,12,29,1,5,6,0,0,0,0,0,0,0,0
http://www.gst-ukraine.com.ua/ukraine/tours/2754-arboretum-alexandria-sofiyivka,defacement,1,79,22,50,3,5,4,0,2,0,0,0,0,0,0
facebook.unitedcolleges.net,phishing,2,27,27,0,2,0,0,0,1,0,0,0,0,0,0
http://www.bimabn.com/1-configurazione-supporto-apple.store-contatta/c/Apple-id/3d465e25b47e6bc23ae55f5de40e1bb1/,phishing,2,113,14,92,3,7,19,0,1,0,0,0,0,0,0
eyeappealoptometry.com/,benign,0,23,22,1,1,1,0,0,0,0,0,0,0,0,0
brophygen.com/,benign,0,14,13,1,1,1,0,0,0,0,0,0,0,0,0
icehockey.wikia.com/wiki/Dan_Blackburn,benign,0,38,19,19,2,2,0,1,1,0,0,0,0,0,0
gurufocus.com/news/116068/who-is-the-warren-buffett-of-canada-prem-watsa-of-fairfax-financial-ffh-or-paul-desmarais-of-power-corporation-of-canada-pow,benign,0,150,13,137,1,3,6,0,0,0,0,0,0,0,0
http://www.bg-ricevimenti.it/index.php/location/osteria-del-molo.html?fontstyle=f-smaller,defacement,1,89,21,41,4,5,0,2,1,0,0,0,0,19,1
stewstew.com/,benign,0,13,12,1,1,1,0,0,0,0,0,0,0,0,0
livingharvest.com/products/ice-cream-bars,benign,0,41,17,24,1,2,0,0,0,0,0,0,0,0,0
http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-readers-digest-magazine-offer-20150202203953555,benign,0,119,13,42,2,5,17,2,0,0,0,0,0,56,1
http://9779.info/%E5%84%BF%E7%AB%A5%E7%AB%8B%E4%BD%93%E7%BA%B8%E8%B4%B4%E7%94%BB/,malware,3,81,9,65,1,4,22,21,0,0,0,0,0,0,0
bleacherreport.com/articles/300242-doug-harvey-one-of-the-best-ever-to-play-the-game,benign,0,84,18,66,1,2,6,0,0,0,0,0,0,0,0
http://www.boeuf-soufflenheim.com/de.feed?type=rss,defacement,1,50,26,8,3,3,0,2,1,0,0,0,0,8,1
artfacts.net/it/istituzion/ms--muzeum-sztuki-lodz-2724/visione-generale.html,benign,0,76,12,64,2,4,4,0,0,0,0,0,0,0,0
parsippanysoccerclub.org/,benign,0,25,24,1,1,1,0,0,0,0,0,0,0,0,0
international.uiowa.edu/services/language/allnet/resources/languages/turkish.asp,benign,0,80,23,57,3,6,0,0,1,0,0,0,0,0,0
btscene.eu/verified-search/torrent/franco+piersanti/,benign,0,52,10,42,1,4,0,0,0,0,0,0,0,0,0
signature-editions.com/,benign,0,23,22,1,1,1,0,0,0,0,0,0,0,0,0
en.wikipedia.org/wiki/Blessed_by_a_Broken_Heart,benign,0,47,16,31,2,2,0,4,1,0,0,0,0,0,0
http://www.trenker-bestattungen.de/index.php?option=com_content&view=article&id=13&Itemid=14,defacement,1,92,27,10,3,3,4,9,1,0,0,0,0,47,4
national.ca/Bold-Thinking/NATIONAL-Publications.aspx,benign,0,52,11,41,2,2,0,0,0,0,0,0,0,0,0
halkbankparaf-para.com,phishing,2,22,22,0,1,0,0,0,0,0,0,0,0,0,0
http://motthegioi.vn/the-gioi-cuoi/clip-dai-gia-mac-ca-voi-co-ban-banh-my-185682.html,benign,0,85,13,65,2,4,6,0,0,0,0,0,0,0,0
metroactive.com/papers/metro/01.29.98/idiotflesh-9804.html,benign,0,58,15,43,4,4,10,0,0,0,0,0,0,0,0
https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FwjfL4fhPp1lPxTZb+%E3%82%A2%E3%83%AA%E3%82%B5%E5%86%8D,benign,0,200,11,5,2,3,59,46,0,1,0,0,0,175,1
http://correios.com.br/para-sua-empresa/comunicacao/certificados-digitais/ajuda-interativa/informacoes-sobre-a-baixa-dos-certificados-a1,benign,0,136,15,114,2,7,1,0,1,0,0,0,0,0,0
http://olx.ro/i2/electronice-si-electrocasnice/electrocasnice/masini-de-cusut/gtm.start,benign,0,87,6,74,2,7,1,0,0,0,0,0,0,0,0
http://www.aba-diagnostic.com/espace-prive/reset.html,defacement,1,53,22,24,3,4,0,0,1,0,0,0,0,0,0
msn.foxsports.com/nhl/player/yann-sauve/720461,benign,0,46,17,29,2,4,6,0,1,0,0,0,0,0,0
hallmark.businessgreetings.com/,benign,0,31,30,1,2,1,0,0,1,0,0,0,0,0,0
musicstack.com/records-cds/toni+tony+tone,benign,0,41,14,27,1,2,0,0,0,0,0,0,0,0,0
nudecelebsnow.com/tags/1/victoria+justus.htm,benign,0,44,17,27,2,3,1,0,0,0,0,0,0,0,0
http://www.paoarapanui.cl/index.php?option=com_contact&view=contact&id=1&Itemid=6,defacement,1,81,18,10,3,3,2,9,1,0,0,0,0,45,4
worldwrestlinginsanity.com/am2/publish/ringofhonorlive/roh_sinclair_tv2.shtml,benign,0,77,26,51,2,4,2,2,0,0,0,0,0,0,0
http://www.designeremdoces.com/components/com_contact/ggdrives/,phishing,2,63,23,33,2,6,0,1,1,0,0,0,0,0,0
http://slashdot.org/submission/2916707/facebook-to-include-profile-photos-in-its-facial-recognition-database,benign,0,108,12,89,1,5,7,0,0,0,0,0,0,0,0
facebook.com/people/Yui-Takeshita/100001611015714,benign,0,49,12,37,1,3,15,0,0,0,0,0,0,0,0
sportsposterwarehouse.com/items_388__grandprixclassicscoll.html,benign,0,63,25,38,2,1,3,3,0,0,0,0,0,0,0
padmapper.com/search/apartments/Quebec/Montreal-est/,benign,0,52,13,39,1,5,0,0,0,0,0,0,0,0,0
mrskin.com/christina-ricci-nude-c868.html,benign,0,41,10,31,2,1,3,0,0,0,0,0,0,0,0
lip-service.com/webzine/tag/post-apocalyptic-fashion/,benign,0,53,15,38,1,4,0,0,0,0,0,0,0,0,0
http://www.tiendagnulinux.com.ar/calcomanias-en-vinilo?page=shop.browse&category_id=52,defacement,1,86,25,22,4,3,2,5,2,0,0,0,0,31,2
http://chelurao.ru/index.php?option=com_content&view=article&id=9&Itemid=10&lang=ru,defacement,1,83,11,10,2,3,3,11,0,0,0,0,0,54,5
linkedin.com/pub/dir/elizabeth/scarborough,benign,0,42,12,30,1,4,0,0,0,0,0,0,0,0,0
cqgcr.ca/ang/producer01.php,benign,0,27,8,19,2,2,2,0,0,0,0,0,0,0,0
huffingtonpost.com/2011/10/24/south-carolina-primary-case_n_1029599.html,benign,0,72,18,54,2,4,15,2,0,0,0,0,0,0,0
http://qz.com/403774/quartz-daily-brief-japanese-military-verizon-aol-sporty-branson-saucy-swedes/,benign,0,98,6,85,1,5,6,0,0,0,0,0,0,0,0
select.nytimes.com/gst/abstract.html?res=F70814F93B581A7A93CBA9178BD95F4C8385F9,benign,0,79,18,18,3,2,25,2,1,0,0,0,0,42,1
startrekcostumes.net/,benign,0,21,20,1,1,1,0,0,0,0,0,0,0,0,0
en.wikipedia.org/wiki/Neil_Curtis,benign,0,33,16,17,2,2,0,1,1,0,0,0,0,0,0
music.carowinds.com/,benign,0,20,19,1,2,1,0,0,1,0,0,0,0,0,0
http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,malware,3,63,9,47,1,4,21,15,0,0,0,0,0,0,0
newjersey.craigslist.org/,benign,0,25,24,1,2,1,0,0,1,0,0,0,0,0,0
roverslands.net,phishing,2,15,15,0,1,0,0,0,0,0,0,0,0,0,0
familypedia.wikia.com/wiki/Joseph_Philippe_Roi_de_Villere_%281727-1769%29,benign,0,73,21,52,2,2,12,7,1,0,0,0,0,0,0
http://mylust.com/videos/232790/hentai-slut-with-big-juicy-tits-gets-fucked-doggy-style/,benign,0,88,10,71,1,6,6,0,0,0,0,0,0,0,0
acronymfinder.com/John-Burroughs-High-school-(Burbank%2c-CA)-(JBHS).html,benign,0,72,17,55,2,1,1,1,0,0,0,0,0,0,0
http://www.familienbund.org/index.php?option=com_content&view=article&id=291:stellungnahme-des-familienbundes-der-katholiken-zum-referentenentwurf-eines-gesetzes-zur-erweiterung-der-grosselternzeit-&c,defacement,1,200,20,10,3,3,3,8,1,0,0,0,0,162,4
http://www.vanoorschotkranen.nl/hoogwerker/hoogwerkers.pdf,defacement,1,58,24,27,3,4,0,0,1,0,0,0,0,0,0
youtube.com/watch?v=K_-bsYE-y08,benign,0,31,11,6,1,1,2,3,0,0,0,0,0,13,1
myspace.com/jking909,benign,0,20,11,9,1,1,3,0,0,0,0,0,0,0,0
http://www.academiedumeuble.ca/index.php?option=com_seminar&task=3&cid=516&sem_midx=0&sem_jidx=0&Itemid=69,defacement,1,106,23,10,3,3,8,15,1,0,0,0,0,65,6
corporacionrossenditotours.com,phishing,2,30,30,0,1,0,0,0,0,0,0,0,0,0,0
http://maslen.sk/index.php?option=com_contact&view=contact&id=37:iados-o-obchodnu-spolupracu&catid=29:dopytformular&Itemid=5,defacement,1,124,9,10,2,3,5,11,0,0,0,0,0,97,5
http://www.clinicatecma.es/index.php/densiometria,defacement,1,49,19,23,3,4,0,0,1,0,0,0,0,0,0
movies.msn.com/celebrities/celebrity/george-'gabby'-hayes/,benign,0,58,14,44,2,4,0,0,1,0,0,0,0,0,0
idlebrain.com/news/functions/engagement-brahmini.html,benign,0,53,13,40,2,3,0,0,0,0,0,0,0,0,0
vh1.com/video/that-metal-show/full-episodes/carmine-appice-dave-meniketti/1663564/playlist.jhtml,benign,0,96,7,89,2,6,8,0,0,0,0,0,0,0,0
archiver.rootsweb.ancestry.com/th/read/GEN-OBIT/2007-04/1176208149,benign,0,66,30,36,3,5,16,0,2,0,0,0,0,0,0
perezhilton.com/category/william-shatner/,benign,0,41,15,26,1,3,0,0,0,0,0,0,0,0,0
fsnaindia.com/,benign,0,14,13,1,1,1,0,0,0,0,0,0,0,0,0
actionjaxon666.wordpress.com/2011/02/24/new-macbook-pros-secretly-16gb-capable/,benign,0,79,28,51,2,5,13,0,1,0,0,0,0,0,0
en.wikipedia.org/wiki/Kenji_Nojima,benign,0,34,16,18,2,2,0,1,1,0,0,0,0,0,0
alaskajewelry.com/colored-stone-tanzanite-rings-c-21_72_91.html?=&infoBox=0,benign,0,75,17,46,2,1,7,6,0,0,0,0,0,11,2
greenparty.ca/campaign/24048,benign,0,28,13,15,1,2,5,0,0,0,0,0,0,0,0
http://mic.com/articles/117758/mtv-just-gave-these-artists-a-huge-platform-to-bring-attention-to-indigenous-rights,benign,0,114,7,100,1,5,6,0,0,0,0,0,0,0,0
randomhouse.com/book/84548/tapestry-of-spies-by-stephen-hunter,benign,0,62,15,47,1,3,5,0,0,0,0,0,0,0,0
argentinawarez.com/musica-mp3-gratis/65991-ost-boat-rocked-soundtrack-2cd-2009-a.html,benign,0,85,18,67,2,2,11,0,0,0,0,0,0,0,0
192.com/atoz/people/gerrard/steven/,benign,0,35,7,28,1,5,3,0,0,0,0,0,0,0,0
users6.nofeehost.com/aldenh/493.html,benign,0,36,20,16,3,2,4,0,1,0,0,0,0,0,0
facebook.com/opalhilldrive,benign,0,26,12,14,1,1,0,0,0,0,0,0,0,0,0
scottss.com/,benign,0,12,11,1,1,1,0,0,0,0,0,0,0,0,0
http://drive-google-com.fanalav.com/6a7ec96d6a4b8b887e9f9ace81b40a99/,phishing,2,69,28,34,2,4,18,0,1,0,0,0,0,0,0
manta.com/ic/mt6fkz0/ca/residence-sault-au-recollet,benign,0,51,9,42,1,4,2,0,0,0,0,0,0,0,0
http://www.perthshire-caravans.co.uk/stock-list/caravans/706-elddis-odyssey-540,defacement,1,79,29,43,3,5,6,0,2,0,0,0,0,0,0
forum.exscn.net/archive/index.php/t-10778.html?pda=1,benign,0,52,15,31,4,3,6,2,1,0,0,0,0,5,1
superpages.com/bp/Kansas-City-KS/Kansas-City-Terminal-Railway-L2170949422.htm,benign,0,77,14,63,2,3,10,0,0,0,0,0,0,0,0
maxlapointe.com/?p=141,benign,0,22,15,1,1,1,3,2,0,0,0,0,0,5,1
http://rendeck.com/index.php/nl/vacatures/table/9/0/index.html?resetfilters=0,defacement,1,77,11,44,3,9,3,2,0,0,0,0,0,14,1
ca.ratemyteachers.com/louise-trichet/106184-s,benign,0,45,21,24,2,2,6,0,1,0,0,0,0,0,0
cardomain.com/ride/2424103/2006-pontiac-gto,benign,0,43,13,30,1,3,11,0,0,0,0,0,0,0,0
apps.facebook.com/ilike/artist/Les+Respectables,benign,0,47,17,30,2,3,0,0,1,0,0,0,0,0,0
cbssports.com/nba/players/playerpage/20626/paul-pierce,benign,0,54,13,41,1,5,5,0,0,0,0,0,0,0,0
detkreimeier-fotografie.de,phishing,2,26,26,0,1,0,0,0,0,0,0,0,0,0,0
http://listovka.info/xmap.html,defacement,1,30,13,10,2,3,0,0,0,0,0,0,0,0,0
home.comcast.net/~jcage89/350z/navbox/index.htm,benign,0,47,16,31,3,4,5,1,1,0,0,0,0,0,0
margaritawill.com/hotdogs/,benign,0,26,17,9,1,2,0,0,0,0,0,0,0,0,0
pipl.com/directory/name/Pallas/Tony,benign,0,35,8,27,1,4,0,0,0,0,0,0,0,0,0
newyorker.com/archive/1982/04/12/1982_04_12_039_TNY_CARDS_000335949,benign,0,67,13,54,1,5,28,6,0,0,0,0,0,0,0
youtube.com/watch?v=eMY1FT3Pqh8,benign,0,31,11,6,1,1,3,2,0,0,0,0,0,13,1
law.cornell.edu/wex/Joint_venture,benign,0,33,15,18,2,2,0,1,1,0,0,0,0,0,0
pitchfork.com/reviews/albums/13979-broken-bells/,benign,0,48,13,35,1,4,5,0,0,0,0,0,0,0,0
http://skyrock.com/videos/eDJwODRhNzoxMw==-bug-1187-moi-ma-famille.html?top=3&period=recent,benign,0,91,11,53,2,4,5,6,0,0,0,0,0,19,2
hollywood.com/movie/Biutiful/6870447,benign,0,36,13,23,1,3,7,0,0,0,0,0,0,0,0
facebook.com/pages/The-Paul-Lynde-Halloween-Special-1976/280289980245,benign,0,69,12,57,1,3,16,0,0,0,0,0,0,0,0
hot-people.info/Crossett_AR_Dorothy-Moore_Eric--Newton_1051.html,benign,0,64,15,49,2,1,4,4,0,0,0,0,0,0,0
